delay_ms,rmse_KF,rmse_EKF,rmse_PF
0,0.4964,0.2288,0.2182
250,0.6240,0.2333,0.2464
500,0.6675,0.2980,0.2673
750,0.6960,0.3742,0.2841
1000,0.7146,0.4468,0.2923
1250,0.7369,0.5171,0.3035
1500,0.7715,0.6002,0.3091
1750,0.8166,0.6741,0.3188
2000,0.8626,0.7347,0.3194
2250,0.9063,0.7922,0.3293
2500,0.9550,0.8493,0.3327
2750,1.0048,0.9015,0.3344
3000,1.0398,0.9450,0.3376
3250,1.0726,0.9831,0.3480
3500,1.0987,1.0143,0.3540
3750,1.1172,1.0403,0.3605
4000,1.1206,1.0563,0.3660
4250,1.1159,1.0717,0.3668
4500,1.0828,1.0703,0.3704
4750,1.0247,1.0469,0.3708
5000,0.9584,1.0196,0.3694
